run_date,data_through,mode,forecast_date,horizon,target,model,prediction,unit
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,qgru,51.103,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,ann,46.824,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,lstm,99715.695,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,qlstm,99986.617,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,gru,99831.461,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,qgru,99745.031,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,ann,99967.781,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,lstm,32.642,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,qlstm,32.196,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,gru,31.891,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,qgru,33.385,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,ann,32.369,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,lstm,38.827,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,qlstm,49.021,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,gru,32.237,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,qgru,54.805,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,ann,48.732,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,lstm,99798.797,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,qlstm,99864.477,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,gru,99719.508,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,qgru,99602.312,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,ann,99735.688,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,hqnn,33.27,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,TMP2m,ensemble,33.27,°C
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,hqnn,54.649,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,RH2m,ensemble,54.649,%
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,hqnn,100000.047,Pa
2026-06-25,2026-06-25,univariate,2026-06-26,1,PRmsl,ensemble,100000.047,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,hqnn,34.166,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,TMP2m,ensemble,34.166,°C
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,hqnn,47.269,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,RH2m,ensemble,47.269,%
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,hqnn,100043.797,Pa
2026-06-25,2026-06-25,univariate,2026-06-27,2,PRmsl,ensemble,100043.797,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,hqnn,33.142,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,TMP2m,ensemble,33.142,°C
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,hqnn,56.305,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,RH2m,ensemble,56.305,%
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,hqnn,99934.0,Pa
2026-06-25,2026-06-25,univariate,2026-06-28,3,PRmsl,ensemble,99934.0,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,hqnn,33.73,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,TMP2m,ensemble,33.73,°C
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,hqnn,48.935,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,RH2m,ensemble,48.935,%
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,hqnn,100019.656,Pa
2026-06-25,2026-06-25,univariate,2026-06-29,4,PRmsl,ensemble,100019.656,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,hqnn,32.667,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,TMP2m,ensemble,32.667,°C
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,hqnn,61.64,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,RH2m,ensemble,61.64,%
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,hqnn,99921.219,Pa
2026-06-25,2026-06-25,univariate,2026-06-30,5,PRmsl,ensemble,99921.219,Pa
2026-06-28,2026-06-28,univariate,2026-06-29,1,TMP2m,hqnn,32.886,°C
2026-06-28,2026-06-28,univariate,2026-06-29,1,TMP2m,ensemble,32.886,°C
2026-06-28,2026-06-28,univariate,2026-06-29,1,RH2m,hqnn,49.824,%
